iter	Passed	Remaining
0	0	91
1	1	91
2	3	98
3	4	98
4	5	95
5	5	91
6	6	91
7	7	88
8	8	84
9	9	82
10	10	80
11	10	78
12	11	78
13	12	79
14	13	78
15	14	76
16	15	74
17	15	72
18	16	71
19	17	70
20	18	69
21	19	68
22	19	66
23	20	65
24	21	63
25	25	71
26	25	70
27	26	68
28	27	67
29	28	65
30	28	64
31	29	62
32	30	61
33	30	59
34	31	58
35	32	57
36	33	56
37	38	62
38	39	61
39	40	60
40	40	58
41	41	56
42	41	55
43	42	53
44	43	52
45	43	51
46	44	50
47	45	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	51	38
57	52	37
58	53	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	57	29
66	59	29
67	59	28
68	60	27
69	60	26
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	80	0
